2026-04-27 12:10:50 | INFO     | 应用启动中...
2026-04-27 12:10:51 | INFO     | 健康检查请求
2026-04-27 12:10:52 | INFO     | 健康检查请求
2026-04-27 12:10:53 | INFO     | 健康检查请求
2026-04-27 12:12:47 | INFO     | 批量处理 50 张图片，分为 1 个批次
2026-04-27 12:13:35 | INFO     | 图片理解（API） 耗时: 47.92秒
2026-04-27 12:13:35 | INFO     | 批量处理 50 张图片 耗时: 48.48秒
2026-04-27 12:14:15 | WARNING  | 第 1 次尝试：AI返回的不是有效JSON
2026-04-27 12:14:15 | INFO     | 重试中... (1/3)
2026-04-27 12:14:45 | WARNING  | 第 2 次尝试：AI返回的不是有效JSON
2026-04-27 12:14:45 | INFO     | 重试中... (2/3)
2026-04-27 12:15:45 | WARNING  | 第 3 次尝试：AI返回的不是有效JSON
2026-04-27 12:15:45 | ERROR    | 提取知识点失败，已尝试 3 次，所有尝试均未返回有效JSON
2026-04-27 12:15:46 | INFO     | 获取知识地图: 数学
2026-04-27 12:15:46 | INFO     | 知识地图获取成功: 0个节点, 0条边
2026-04-27 12:16:18 | INFO     | 获取知识地图: 语文
2026-04-27 12:16:18 | INFO     | 知识地图获取成功: 0个节点, 0条边
2026-04-27 12:24:36 | INFO     | 应用启动中...
2026-04-27 12:24:38 | INFO     | 健康检查请求
2026-04-27 12:55:11 | INFO     | 应用启动中...
2026-04-27 12:55:13 | INFO     | 健康检查请求
2026-04-27 13:59:05 | INFO     | 健康检查请求
2026-04-27 13:59:26 | INFO     | 批量处理 50 张图片，分为 1 个批次
2026-04-27 13:59:26 | INFO     | 从缓存加载批次结果: 50 张图片
2026-04-27 13:59:26 | INFO     | 批量处理 50 张图片 耗时: 0.00秒
2026-04-27 14:00:29 | WARNING  | 第 1 次尝试：AI返回的不是有效JSON
2026-04-27 14:00:29 | INFO     | 重试中... (1/3)
2026-04-27 14:01:06 | WARNING  | 第 2 次尝试：AI返回的不是有效JSON
2026-04-27 14:01:06 | INFO     | 重试中... (2/3)
2026-04-27 14:01:44 | WARNING  | 第 3 次尝试：AI返回的不是有效JSON
2026-04-27 14:01:44 | ERROR    | 提取知识点失败，已尝试 3 次，所有尝试均未返回有效JSON
2026-04-27 14:01:44 | INFO     | 获取知识地图: 语文
2026-04-27 14:01:44 | INFO     | 知识地图获取成功: 0个节点, 0条边
2026-04-27 14:02:20 | INFO     | 生成诊断测试: 学科=语文, 年级=一年级, 题型=mixed
2026-04-27 14:07:22 | INFO     | 应用启动中...
2026-04-27 14:07:23 | INFO     | 健康检查请求
2026-04-27 14:14:43 | INFO     | 健康检查请求
2026-04-27 14:15:35 | INFO     | 应用启动中...
2026-04-27 14:15:36 | INFO     | 健康检查请求
2026-04-27 14:16:28 | INFO     | 健康检查请求
2026-04-27 14:17:01 | INFO     | 应用启动中...
2026-04-27 14:17:02 | INFO     | 健康检查请求
2026-04-27 14:17:38 | INFO     | 健康检查请求
2026-04-27 14:28:01 | INFO     | 应用启动中...
2026-04-27 14:28:02 | INFO     | 健康检查请求
2026-04-27 14:28:07 | INFO     | 健康检查请求
2026-04-27 14:28:29 | INFO     | 批量处理 50 张图片，分为 1 个批次
2026-04-27 14:28:29 | INFO     | 从缓存加载批次结果: 50 张图片
2026-04-27 14:28:29 | INFO     | 批量处理 50 张图片 耗时: 0.00秒
2026-04-27 14:29:31 | WARNING  | 第 1 次尝试：AI返回的不是有效JSON
2026-04-27 14:29:31 | INFO     | 重试中... (1/3)
2026-04-27 14:30:37 | WARNING  | 第 2 次尝试：AI返回的不是有效JSON
2026-04-27 14:30:37 | INFO     | 重试中... (2/3)
2026-04-27 14:31:44 | WARNING  | 第 3 次尝试：AI返回的不是有效JSON
2026-04-27 14:31:44 | ERROR    | 提取知识点失败，已尝试 3 次，所有尝试均未返回有效JSON
2026-04-27 14:31:44 | INFO     | 获取知识地图: 数学
2026-04-27 14:31:44 | INFO     | 知识地图获取成功: 0个节点, 0条边
